"€215,000","12 Rushbrook, Claremorris, Mayo"
"€120,000","Knockfin, Westport, Mayo"
"Reserve Not To Exceed €40,000","5A and 5B, Main Street, Ballyhaunis, Co. Mayo"
"€45,000","Main Street, Ballycastle, Mayo"
"€40,000","Site For Sale Rathruane, Bohola, Castlebar, Mayo"
"€435,000","Kilgeever, Louisburgh, Mayo"
"€285,000","Tooreen, Louisburgh, Mayo"
"€275,000  -€14,000 on 20th Jun 19","Shancarrig House, Cahir, Louisburgh, Mayo"
"€475,000","Old Head, Louisburgh, Mayo"
"€140,000  -€10,000 on 3rd Oct 19","Bridge Street, Louisburgh, Mayo"
"€170,000","No. 4 Mulranny Holiday  Village, Mulranny, Mayo"
"€625,000","Curraghmore, Belcarra, Castlebar, Co Mayo"
"€69,000","25 Greenhills, Ballina, Mayo"
"€40,000","Muckanagh, Glenisland, Castlebar, Mayo"
"€99,000","47 Rathdubh, Swinford, Co. Mayo"
"€259,000","5 The Elms, Westport, Co Mayo, F28 CK68"
"€255,000","Ballinaglough, Rathbawn Road , Castlebar, Mayo"
"€275,000  -€10,000 on 8th Oct 19","Killavally, Westport, Mayo"
"€265,000","6 Gleann Darach , Swinford, Mayo"
"€305,000","24 The Moorings, Ballina, Mayo"
